id,name,latitude,longitude,dpcapacity,dateCreated
148,State St & 33rd St,41.834734,-87.625813,11,27-08-2013
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,03-08-2013
272,Indiana Ave & 31st St,41.838842,-87.621857,11,12-09-2013
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,11,23-07-2013
61,Wood St & Milwaukee Ave,41.907655,-87.672552,15,18-06-2013
16,Wood St & North Ave,41.910329,-87.672516,11,12-08-2013
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,15,27-09-2013
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15,29-07-2013
153,Southport Ave & Wellington Ave,41.935733,-87.663576,19,25-07-2013
154,Southport Ave & Belmont Ave,41.93949,-87.66378,15,29-07-2013
226,Racine Ave & Belmont Ave,41.939743,-87.658865,15,19-08-2013
156,Clark St & Wellington Ave,41.93649682,-87.64753866,15,02-08-2013
334,Lake Shore Dr & Belmont Ave,41.940775,-87.639192,19,27-09-2013
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,01-08-2013
227,Southport Ave & Waveland Ave,41.94815,-87.66394,15,20-08-2013
311,Lincoln Ave & Eastwood Ave,41.96583,-87.68651,15,20-09-2013
326,Clark St & Leland Ave,41.967096,-87.667429,11,27-09-2013
305,Western Ave & Division St,41.902893,-87.687275,15,21-09-2013
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,19,22-08-2013
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15,26-07-2013
213,Leavitt St & North Ave,41.910153,-87.68229,15,16-08-2013
159,Claremont Ave & Hirsch St,41.907781,-87.685854,9,26-07-2013
17,Wood St & Division St,41.90332,-87.67273,15,20-06-2013
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,15,22-10-2013
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,22-06-2013
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,26-08-2013
297,Paulina St & Montrose Ave,41.961507,-87.671387,15,18-09-2013
314,Ravenswood Ave & Berteau Ave,41.957921,-87.673567,15,27-09-2013
298,Lincoln Ave & Belle Plaine Ave,41.955927,-87.679259,15,01-10-2013
257,Lincoln Ave & Waveland Ave,41.94911,-87.675112,15,09-09-2013
315,Leavitt St & Hirsch St,41.906717,-87.682779,11,21-09-2013
216,California Ave & Division St,41.903029,-87.697474,15,16-08-2013
160,Campbell Ave & North Ave,41.910535,-87.689556,15,26-07-2013
276,California Ave & North Ave,41.91044,-87.6972,11,12-09-2013
259,California Ave & Francis Pl,41.91855,-87.69723,15,12-09-2013
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,21-06-2013
195,Columbus Dr & Randolph St,41.884728,-87.619521,31,10-08-2013
212,Wells St & Hubbard St,41.889933,-87.634262,31,16-08-2013
74,Kingsbury St & Erie St,41.89384315,-87.64185116,23,14-06-2013
185,Stave St & Armitage Ave,41.917741,-87.691392,11,26-07-2013
162,Damen Ave & Wellington Ave,41.93588,-87.67842,14,25-07-2013
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,26-08-2013
163,Paulina St & Diversey Pkwy,41.93186,-87.67079,15,29-07-2013
164,Franklin St & Lake St,41.885837,-87.6355,23,03-08-2013
232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,23,21-08-2013
165,Clark St & Waveland Ave,41.94893,-87.65775,19,03-08-2013
324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,15,03-10-2013
296,Broadway & Belmont Ave,41.940106,-87.645451,15,18-09-2013
303,Broadway & Cornelia Ave,41.945512,-87.64598,15,19-09-2013
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,22-06-2013
342,Wolcott Ave & Polk St,41.871262,-87.673688,15,12-10-2013
317,Wood St & Taylor St,41.869154,-87.671045,15,21-09-2013
309,Leavitt St & Armitage Ave,41.917805,-87.682437,11,20-09-2013
310,Damen Ave & Charleston St,41.920082,-87.677855,11,20-09-2013
86,Eckhart Park,41.89637337,-87.66098386,15,26-06-2013
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,22-06-2013
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,09-10-2013
319,Greenview Ave & Diversey Pkwy,41.932595,-87.665939,15,26-09-2013
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,29-07-2013
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,25-07-2013
343,Racine Ave & Wrightwood Ave,41.928887,-87.658971,15,24-10-2013
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,15,06-08-2013
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,39,24-06-2013
77,Clinton St & Madison St,41.8815824,-87.64127743,23,15-06-2013
291,Wells St & Evergreen Ave,41.906724,-87.63483,19,14-09-2013
337,Clark St & Chicago Ave,41.896544,-87.630931,19,27-09-2013
274,Racine Ave & 15th St,41.861267,-87.656625,15,12-09-2013
167,Damen Ave & Coulter St,41.8492,-87.67564,11,25-07-2013
208,Ashland Ave & 21st St,41.85381,-87.665897,15,15-08-2013
209,Normal Ave & Archer Ave,41.849527,-87.640591,11,15-08-2013
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,31,05-09-2013
168,Michigan Ave & 14th St,41.864059,-87.623727,19,03-08-2013
316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,19,25-09-2013
234,Clark St & Montrose Ave,41.961588,-87.666036,19,21-08-2013
292,Southport Ave & Clark St,41.957081,-87.664199,11,14-09-2013
347,Ashland Ave & Grace St,41.950687,-87.6687,15,12-10-2013
318,Southport Ave & Irving Park Rd,41.954177,-87.664358,15,21-09-2013
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,05-09-2013
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15,09-09-2013
304,Halsted St & Waveland Ave,41.949375,-87.649626,15,19-09-2013
169,Canal St & Harrison St,41.874337,-87.639566,15,23-07-2013
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15,17-06-2013
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,15,12-09-2013
170,Clinton St & 18th St,41.85795,-87.640826,15,25-07-2013
171,May St & Cullerton St,41.855136,-87.654127,11,25-07-2013
320,Loomis St & Lexington St,41.872187,-87.661501,15,21-09-2013
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,15-07-2013
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,15,01-08-2013
194,State St & Wacker Dr,41.887155,-87.62775,11,10-08-2013
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,14-09-2013
174,Canal St & Madison St,41.882091,-87.639833,23,28-07-2013
175,Wells St & Polk St,41.872373,-87.633523,19,03-08-2013
335,Calumet Ave & 35th St,41.831379,-87.618034,15,17-10-2013
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,17-09-2013
329,Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625,15,25-09-2013
176,Clark St & Elm St,41.903233,-87.631253,19,01-08-2013
177,Theater on the Lake,41.926277,-87.630834,15,13-08-2013
346,Ada St & Washington Blvd,41.88283,-87.661206,15,10-10-2013
275,Ashland Ave & 13th St,41.865234,-87.666507,15,12-09-2013
247,Shore Drive & 55th St,41.795212,-87.580715,15,23-08-2013
248,Woodlawn Ave & 55th St,41.795264,-87.596471,15,23-08-2013
328,Ellis Ave & 58th St,41.788746,-87.601334,15,25-09-2013
306,Sheridan Rd & Buena Ave,41.9584,-87.65423,15,23-09-2013
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,15,20-09-2013
323,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,15,23-09-2013
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,26-08-2013
249,Montrose Harbor,41.963982,-87.638181,15,26-08-2013
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,26-08-2013
325,Clark St & Winnemac Ave,41.973385,-87.668365,15,23-09-2013
281,Western Ave & 24th St,41.84847,-87.685109,15,13-09-2013
252,Greenwood Ave & 47th St,41.809835,-87.599383,15,27-08-2013
322,Kimbark Ave & 53rd St,41.799568,-87.594747,15,21-09-2013
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15,28-08-2013
207,Emerald Ave & 28th St,41.84358,-87.645368,15,15-08-2013
339,Emerald Ave & 31st St,41.838198,-87.645143,11,28-09-2013
178,State St & 19th St,41.856594,-87.627542,15,23-07-2013
233,Sangamon St & Washington Blvd,41.883004,-87.651148,15,29-08-2013
236,Sedgwick St & Schiller St,41.907576,-87.638517,15,21-08-2013
279,Halsted St & 35th St,41.830661,-87.647172,15,13-09-2013
262,Halsted St & 37th St,41.827071,-87.645801,11,01-10-2013
278,Wallace Ave & 35th St,41.830629,-87.64129,15,13-09-2013
179,Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15,24-07-2013
336,Cottage Grove Ave & 47th St,41.809855,-87.606755,15,17-10-2013
196,Cityfront Plaza & N Water St,41.889875,-87.621994,19,10-08-2013
181,LaSalle St & Illinois St,41.890749,-87.63206,31,21-07-2013
341,Adler Planetarium,41.866095,-87.607267,19,09-10-2013
285,Wood St & Grand Ave,41.89113,-87.67203,15,13-09-2013
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,12-09-2013
351,Cottage Grove Ave & 51st St,41.803038,-87.606615,15,17-10-2013
